##Temp./°C;Time/min;Pressure/Bar;DSC/(mW/mg);Sensit./(uV/mW)
114.34900;59.73333;19.98559;-6.835834e-002;3.14227
114.35200;59.73667;19.98574;-6.809942e-002;3.14227
114.35400;59.74000;19.98589;-6.809932e-002;3.14227
114.35500;59.74333;19.98589;-6.809926e-002;3.14227
114.35700;59.74667;19.98604;-6.809914e-002;3.14227
114.35800;59.75000;19.98635;-6.809908e-002;3.14228
114.35900;59.75333;19.98635;-6.809903e-002;3.14228
114.36100;59.75667;19.98574;-6.822828e-002;3.14228
114.36200;59.76000;19.98544;-6.809884e-002;3.14228
114.36500;59.76333;19.98528;-6.822804e-002;3.14228
114.36600;59.76667;19.98513;-6.835735e-002;3.14228
114.36700;59.77000;19.98513;-6.822792e-002;3.14228
114.37100;59.77333;19.98528;-6.822769e-002;3.14229
114.37200;59.77667;19.98574;-6.861573e-002;3.14229
114.37500;59.78000;19.98574;-6.887428e-002;3.14229
114.37600;59.78333;19.98619;-6.835677e-002;3.14229
114.37700;59.78667;19.98665;-6.783925e-002;3.14229
114.37900;59.79000;19.98710;-6.796850e-002;3.14229
114.38000;59.79333;19.98756;-6.822717e-002;3.14229
114.38200;59.79667;19.98771;-6.835642e-002;3.14229
114.38300;59.80000;19.98786;-6.861509e-002;3.14229
114.38500;59.80333;19.98786;-6.835624e-002;3.14230
114.38600;59.80667;19.98756;-6.835619e-002;3.14230
114.38800;59.81000;19.98725;-6.835607e-002;3.14230
114.39000;59.81333;19.98725;-6.835596e-002;3.14230
114.39100;59.81667;19.98680;-6.809717e-002;3.14230
114.39300;59.82000;19.98635;-6.822641e-002;3.14230
114.39600;59.82333;19.98650;-6.822625e-002;3.14230
114.39800;59.82667;19.98650;-6.835549e-002;3.14231
114.40000;59.83000;19.98650;-6.835538e-002;3.14231
114.40000;59.83333;19.98680;-6.848474e-002;3.14231
114.40200;59.83667;19.98680;-6.848463e-002;3.14231
114.40400;59.84000;19.98680;-6.848451e-002;3.14231
114.40700;59.84333;19.98665;-6.848433e-002;3.14231
114.40900;59.84667;19.98650;-6.874295e-002;3.14231
114.41000;59.85000;19.98604;-6.900162e-002;3.14232
114.41200;59.85333;19.98574;-6.861341e-002;3.14232
114.41300;59.85667;19.98574;-6.848399e-002;3.14232
114.41500;59.86000;19.98589;-6.848386e-002;3.14232
114.41500;59.86333;19.98574;-6.861323e-002;3.14232
114.41800;59.86667;19.98574;-6.861306e-002;3.14232
114.41800;59.87000;19.98559;-6.887179e-002;3.14232
114.42000;59.87333;19.98574;-6.887167e-002;3.14232
114.42400;59.87667;19.98589;-6.874207e-002;3.14233
114.42500;59.88000;19.98589;-6.900074e-002;3.14233
114.42700;59.88333;19.98544;-6.912999e-002;3.14233
114.42800;59.88667;19.98559;-6.900057e-002;3.14233
114.43000;59.89000;19.98544;-6.887109e-002;3.14233
114.43200;59.89333;19.98483;-6.900033e-002;3.14233
114.43400;59.89667;19.98392;-6.887085e-002;3.14233
114.43500;59.90000;19.98347;-6.848270e-002;3.14233
114.43700;59.90333;19.98377;-6.848259e-002;3.14234
114.43800;59.90667;19.98392;-6.848253e-002;3.14234
114.43900;59.91000;19.98407;-6.835311e-002;3.14234
114.44200;59.91333;19.98453;-6.848230e-002;3.14234
114.44500;59.91667;19.98468;-6.861148e-002;3.14234
114.44500;59.92000;19.98468;-6.861148e-002;3.14234
114.44700;59.92333;19.98453;-6.874074e-002;3.14234
114.44800;59.92667;19.98438;-6.887004e-002;3.14234
114.45000;59.93000;19.98438;-6.874056e-002;3.14235
114.45200;59.93333;19.98407;-6.861107e-002;3.14235
114.45500;59.93667;19.98392;-6.861090e-002;3.14235
114.45600;59.94000;19.98407;-6.848149e-002;3.14235
114.45800;59.94333;19.98438;-6.835200e-002;3.14235
114.45900;59.94667;19.98438;-6.848131e-002;3.14235
114.46000;59.95000;19.98407;-6.873998e-002;3.14235
114.46300;59.95333;19.98422;-6.886917e-002;3.14236
114.46400;59.95667;19.98453;-6.938656e-002;3.14236
114.46600;59.96000;19.98453;-6.964517e-002;3.14236
114.46700;59.96333;19.98392;-6.964511e-002;3.14236
114.46900;59.96667;19.98377;-6.964500e-002;3.14236
114.47100;59.97000;19.98316;-6.925679e-002;3.14236
114.47200;59.97333;19.98301;-6.886864e-002;3.14236
114.47300;59.97667;19.98301;-6.873922e-002;3.14236
114.47500;59.98000;19.98271;-6.848038e-002;3.14237
114.47700;59.98333;19.98271;-6.886836e-002;3.14237
114.47800;59.98667;19.98271;-6.912702e-002;3.14237
114.48000;59.99000;19.98301;-6.925626e-002;3.14237
114.48200;59.99333;19.98316;-6.886806e-002;3.14237
114.48300;59.99667;19.98286;-6.860928e-002;3.14237
114.48600;60.00000;19.98240;-6.860910e-002;3.14237
114.48700;60.00333;19.98225;-6.847969e-002;3.14237
114.48900;60.00667;19.98225;-6.886766e-002;3.14238
114.49000;60.01000;19.98225;-6.899696e-002;3.14238
114.49200;60.01333;19.98240;-6.899685e-002;3.14238
114.49300;60.01667;19.98271;-6.899678e-002;3.14238
114.49400;60.02000;19.98362;-6.912609e-002;3.14238
114.49600;60.02333;19.98422;-6.912597e-002;3.14238
114.49700;60.02667;19.98453;-6.938464e-002;3.14238
114.49900;60.03000;19.98438;-6.938451e-002;3.14238
114.50100;60.03333;19.98407;-6.912568e-002;3.14239
114.50300;60.03667;19.98422;-6.899620e-002;3.14239
114.50500;60.04000;19.98438;-6.886673e-002;3.14239
114.50700;60.04333;19.98438;-6.899597e-002;3.14239
114.50700;60.04667;19.98438;-6.899597e-002;3.14239
114.50900;60.05000;19.98392;-6.886649e-002;3.14239
114.51000;60.05333;19.98316;-6.860771e-002;3.14239
114.51100;60.05667;19.98286;-6.834892e-002;3.14239
114.51300;60.06000;19.98271;-6.821946e-002;3.14239
114.51600;60.06333;19.98331;-6.834864e-002;3.14240
114.51700;60.06667;19.98422;-6.834858e-002;3.14240
114.51900;60.07000;19.98453;-6.821910e-002;3.14240
114.52100;60.07333;19.98392;-6.821899e-002;3.14240
114.52300;60.07667;19.98347;-6.821887e-002;3.14240
114.52400;60.08000;19.98347;-6.873626e-002;3.14240
114.52500;60.08333;19.98347;-6.873620e-002;3.14240
114.52700;60.08667;19.98347;-6.873609e-002;3.14240
114.52800;60.09000;19.98331;-6.860666e-002;3.14241
114.52900;60.09333;19.98301;-6.886533e-002;3.14241
114.53100;60.09667;19.98271;-6.899458e-002;3.14241
114.53300;60.10000;19.98240;-6.899446e-002;3.14241
114.53500;60.10333;19.98210;-6.899434e-002;3.14241
114.53600;60.10667;19.98210;-6.886493e-002;3.14241
114.53800;60.11000;19.98225;-6.873544e-002;3.14241
114.54100;60.11333;19.98240;-6.873528e-002;3.14242
114.54100;60.11667;19.98240;-6.873528e-002;3.14242
114.54400;60.12000;19.98301;-6.873509e-002;3.14242
114.54600;60.12333;19.98316;-6.873498e-002;3.14242
114.54700;60.12667;19.98316;-6.899364e-002;3.14242
114.54800;60.13000;19.98362;-6.886422e-002;3.14242
114.55000;60.13333;19.98347;-6.873474e-002;3.14242
114.55200;60.13667;19.98316;-6.860526e-002;3.14242
114.55400;60.14000;19.98316;-6.834644e-002;3.14243
114.55500;60.14333;19.98301;-6.847574e-002;3.14243
114.55700;60.14667;19.98301;-6.847561e-002;3.14243
114.55900;60.15000;19.98316;-6.847551e-002;3.14243
114.56000;60.15333;19.98392;-6.847544e-002;3.14243
114.56100;60.15667;19.98468;-6.847539e-002;3.14243
114.56300;60.16000;19.98453;-6.873399e-002;3.14243
114.56500;60.16333;19.98453;-6.860451e-002;3.14243
114.56600;60.16667;19.98468;-6.873382e-002;3.14243
114.56700;60.17000;19.98498;-6.847504e-002;3.14244
114.56900;60.17333;19.98513;-6.847493e-002;3.14244
114.57100;60.17667;19.98513;-6.847481e-002;3.14244
114.57200;60.18000;19.98513;-6.821603e-002;3.14244
114.57300;60.18333;19.98498;-6.795725e-002;3.14244
114.57600;60.18667;19.98438;-6.782772e-002;3.14244
114.57600;60.19000;19.98392;-6.756900e-002;3.14244
114.57800;60.19333;19.98377;-6.756889e-002;3.14244
114.58000;60.19667;19.98377;-6.782749e-002;3.14245
114.58200;60.20000;19.98392;-6.821545e-002;3.14245
114.58400;60.20333;19.98362;-6.821534e-002;3.14245
114.58700;60.20667;19.98362;-6.821516e-002;3.14245
114.58700;60.21000;19.98377;-6.847388e-002;3.14245
114.59000;60.21333;19.98377;-6.834434e-002;3.14245
114.59100;60.21667;19.98392;-6.834429e-002;3.14245
114.59300;60.22000;19.98377;-6.834417e-002;3.14246
114.59400;60.22333;19.98347;-6.821476e-002;3.14246
114.59600;60.22667;19.98301;-6.821464e-002;3.14246
114.59800;60.23000;19.98286;-6.847324e-002;3.14246
114.59900;60.23333;19.98301;-6.834383e-002;3.14246
114.60100;60.23667;19.98301;-6.847306e-002;3.14246
114.60300;60.24000;19.98240;-6.873167e-002;3.14246
114.60400;60.24333;19.98225;-6.860225e-002;3.14246
114.60700;60.24667;19.98225;-6.860207e-002;3.14247
114.60900;60.25000;19.98240;-6.873132e-002;3.14247
114.61100;60.25333;19.98271;-6.821377e-002;3.14247
114.61200;60.25667;19.98286;-6.808436e-002;3.14247
114.61300;60.26000;19.98286;-6.821365e-002;3.14247
114.61500;60.26333;19.98301;-6.873097e-002;3.14247
114.61600;60.26667;19.98347;-6.873090e-002;3.14247
114.61800;60.27000;19.98362;-6.860143e-002;3.14247
114.62000;60.27333;19.98377;-6.860133e-002;3.14248
114.62200;60.27667;19.98347;-6.847185e-002;3.14248
114.62400;60.28000;19.98301;-6.834237e-002;3.14248
114.62600;60.28333;19.98331;-6.821289e-002;3.14248
114.62600;60.28667;19.98347;-6.821289e-002;3.14248
114.62900;60.29000;19.98331;-6.808337e-002;3.14248
114.63000;60.29333;19.98316;-6.808332e-002;3.14248
114.63300;60.29667;19.98286;-6.821250e-002;3.14249
114.63400;60.30000;19.98271;-6.795372e-002;3.14249
114.63500;60.30333;19.98271;-6.808302e-002;3.14249
114.63800;60.30667;19.98271;-6.808285e-002;3.14249
114.63900;60.31000;19.98286;-6.782407e-002;3.14249
114.64100;60.31333;19.98271;-6.756525e-002;3.14249
114.64300;60.31667;19.98271;-6.743577e-002;3.14249
114.64500;60.32000;19.98271;-6.756502e-002;3.14249
114.64600;60.32333;19.98256;-6.847046e-002;3.14250
114.64800;60.32667;19.98195;-6.898777e-002;3.14250
114.65000;60.33000;19.98195;-6.898765e-002;3.14250
114.65200;60.33333;19.98225;-6.898753e-002;3.14250
114.65500;60.33667;19.98225;-6.872865e-002;3.14250
114.65600;60.34000;19.98225;-6.872859e-002;3.14250
114.65800;60.34333;19.98225;-6.846976e-002;3.14250
114.66000;60.34667;19.98240;-6.821093e-002;3.14251
114.66100;60.35000;19.98240;-6.821087e-002;3.14251
114.66200;60.35333;19.98180;-6.924566e-002;3.14251
114.66300;60.35667;19.98180;-6.924561e-002;3.14251
114.66600;60.36000;19.98195;-6.924543e-002;3.14251
114.66700;60.36333;19.98210;-6.937473e-002;3.14251
114.66900;60.36667;19.98271;-6.937461e-002;3.14251
114.67100;60.37000;19.98301;-6.911579e-002;3.14251
114.67300;60.37333;19.98301;-6.898631e-002;3.14252
114.67400;60.37667;19.98316;-6.885690e-002;3.14252
114.67500;60.38000;19.98316;-6.898620e-002;3.14252
114.67700;60.38333;19.98301;-6.924479e-002;3.14252
114.67900;60.38667;19.98286;-6.924468e-002;3.14252
114.68000;60.39000;19.98286;-6.911527e-002;3.14252
114.68200;60.39333;19.98271;-6.898579e-002;3.14252
114.68400;60.39667;19.98240;-6.898568e-002;3.14252
114.68600;60.40000;19.98225;-6.898556e-002;3.14253
114.68700;60.40333;19.98150;-6.885614e-002;3.14253
114.68900;60.40667;19.98134;-6.885603e-002;3.14253
114.69100;60.41000;19.98134;-6.885591e-002;3.14253
114.69200;60.41333;19.98150;-6.885585e-002;3.14253
114.69400;60.41667;19.98180;-6.859703e-002;3.14253
114.69500;60.42000;19.98195;-6.846761e-002;3.14253
114.69700;60.42333;19.98271;-6.859685e-002;3.14253
114.69900;60.42667;19.98286;-6.885545e-002;3.14254
114.70000;60.43000;19.98301;-6.898475e-002;3.14254
114.70100;60.43333;19.98301;-6.885534e-002;3.14254
114.70300;60.43667;19.98286;-6.898457e-002;3.14254
114.70500;60.44000;19.98407;-6.911381e-002;3.14254
114.70700;60.44333;19.98453;-6.911369e-002;3.14254
114.71000;60.44667;19.98468;-6.924287e-002;3.14254
114.71100;60.45000;19.98453;-6.950153e-002;3.14255
114.71200;60.45333;19.98407;-6.950147e-002;3.14255
114.71300;60.45667;19.98392;-6.924270e-002;3.14255
114.71600;60.46000;19.98362;-6.911317e-002;3.14255
114.71800;60.46333;19.98377;-6.924241e-002;3.14255
114.71900;60.46667;19.98362;-6.911300e-002;3.14255
114.72000;60.47000;19.98362;-6.911294e-002;3.14255
114.72200;60.47333;19.98407;-6.898346e-002;3.14255
114.72300;60.47667;19.98453;-6.885405e-002;3.14255
114.72600;60.48000;19.98468;-6.885388e-002;3.14256
114.72600;60.48333;19.98513;-6.872452e-002;3.14256
114.72800;60.48667;19.98559;-6.885376e-002;3.14256
114.72900;60.49000;19.98528;-6.885371e-002;3.14256
114.73100;60.49333;19.98438;-6.885359e-002;3.14256
114.73200;60.49667;19.98407;-6.898289e-002;3.14256
114.73400;60.50000;19.98377;-6.885341e-002;3.14256
114.73600;60.50333;19.98347;-6.937072e-002;3.14256
114.73900;60.50667;19.98331;-6.949989e-002;3.14257
114.74000;60.51000;19.98316;-6.885307e-002;3.14257
114.74200;60.51333;19.98301;-6.872360e-002;3.14257
114.74400;60.51667;19.98301;-6.885283e-002;3.14257
114.74500;60.52000;19.98392;-6.885278e-002;3.14257
114.74700;60.52333;19.98422;-6.872331e-002;3.14257
114.74900;60.52667;19.98438;-6.872319e-002;3.14257
114.75000;60.53000;19.98453;-6.898184e-002;3.14257
114.75100;60.53333;19.98483;-6.885243e-002;3.14258
114.75300;60.53667;19.98513;-6.885231e-002;3.14258
114.75500;60.54000;19.98544;-6.898155e-002;3.14258
114.75600;60.54333;19.98574;-6.898149e-002;3.14258
114.75800;60.54667;19.98574;-6.885202e-002;3.14258
114.76100;60.55000;19.98559;-6.911055e-002;3.14258
114.76200;60.55333;19.98483;-6.949856e-002;3.14258
114.76400;60.55667;19.98392;-6.949843e-002;3.14259
114.76500;60.56000;19.98331;-6.949838e-002;3.14259
114.76700;60.56333;19.98331;-6.975697e-002;3.14259
114.76800;60.56667;19.98286;-6.975692e-002;3.14259
114.76900;60.57000;19.98210;-6.975685e-002;3.14259
114.77200;60.57333;19.98165;-6.988603e-002;3.14259
114.77400;60.57667;19.98180;-6.975656e-002;3.14259
114.77500;60.58000;19.98180;-6.949780e-002;3.14259
114.77600;60.58333;19.98180;-6.949774e-002;3.14259
114.77800;60.58667;19.98180;-6.949763e-002;3.14260
114.77900;60.59000;19.98180;-6.898016e-002;3.14260
114.78100;60.59333;19.98195;-6.898003e-002;3.14260
114.78300;60.59667;19.98210;-6.910928e-002;3.14260
114.78500;60.60000;19.98195;-6.936786e-002;3.14260
114.78600;60.60333;19.98195;-6.949716e-002;3.14260
114.78800;60.60667;19.98195;-7.001445e-002;3.14260
114.78900;60.61000;19.98195;-7.014375e-002;3.14260
114.79200;60.61333;19.98210;-6.949681e-002;3.14261
114.79300;60.61667;19.98210;-6.910870e-002;3.14261
114.79400;60.62000;19.98210;-6.923799e-002;3.14261
114.79600;60.62333;19.98271;-6.949658e-002;3.14261
114.79800;60.62667;19.98271;-6.949646e-002;3.14261
114.80000;60.63000;19.98271;-6.962570e-002;3.14261
114.80100;60.63333;19.98271;-6.949629e-002;3.14261
114.80200;60.63667;19.98225;-6.949622e-002;3.14261
114.80400;60.64000;19.98210;-6.910805e-002;3.14262
114.80600;60.64333;19.98210;-6.910794e-002;3.14262
114.80800;60.64667;19.98256;-6.923718e-002;3.14262
114.81100;60.65000;19.98301;-6.910765e-002;3.14262
114.81200;60.65333;19.98392;-6.923694e-002;3.14262
114.81300;60.65667;19.98392;-6.923689e-002;3.14262
114.81500;60.66000;19.98377;-6.910742e-002;3.14262
114.81600;60.66333;19.98407;-6.949542e-002;3.14262
114.81800;60.66667;19.98407;-6.949530e-002;3.14263
114.82000;60.67000;19.98392;-6.936583e-002;3.14263
114.82100;60.67333;19.98316;-6.871902e-002;3.14263
114.82200;60.67667;19.98225;-6.871896e-002;3.14263
114.82400;60.68000;19.98134;-6.871884e-002;3.14263
114.82600;60.68333;19.98074;-6.910678e-002;3.14263
114.82800;60.68667;19.98059;-6.884795e-002;3.14263
114.82900;60.69000;19.98059;-6.845984e-002;3.14264
114.83100;60.69333;19.98059;-6.845974e-002;3.14264
114.83300;60.69667;19.97998;-6.845961e-002;3.14264
114.83400;60.70000;19.97953;-6.845956e-002;3.14264
114.83500;60.70333;19.97953;-6.871820e-002;3.14264
114.83700;60.70667;19.97953;-6.871808e-002;3.14264
114.83800;60.71000;19.97953;-6.845933e-002;3.14264
114.84000;60.71333;19.97953;-6.820050e-002;3.14264
114.84100;60.71667;19.97938;-6.820045e-002;3.14264
114.84500;60.72000;19.97953;-6.820022e-002;3.14265
114.84600;60.72333;19.97938;-6.820016e-002;3.14265
114.84900;60.72667;19.97938;-6.807063e-002;3.14265
114.85000;60.73000;19.97938;-6.819992e-002;3.14265
114.85200;60.73333;19.97938;-6.871721e-002;3.14265
114.85300;60.73667;19.97953;-6.858781e-002;3.14265
114.85500;60.74000;19.97983;-6.871704e-002;3.14265
114.85700;60.74333;19.98044;-6.871692e-002;3.14266
114.85800;60.74667;19.98074;-6.871687e-002;3.14266
114.86000;60.75000;19.98074;-6.871675e-002;3.14266
114.86100;60.75333;19.98044;-6.858734e-002;3.14266
114.86400;60.75667;19.98044;-6.858717e-002;3.14266
114.86500;60.76000;19.98044;-6.871646e-002;3.14266
114.86600;60.76333;19.98013;-6.845770e-002;3.14266
114.86800;60.76667;19.98028;-6.845758e-002;3.14266
114.86900;60.77000;19.98059;-6.858688e-002;3.14267
114.87100;60.77333;19.98089;-6.871611e-002;3.14267
114.87300;60.77667;19.98074;-6.845730e-002;3.14267
114.87500;60.78000;19.98074;-6.819848e-002;3.14267
114.87600;60.78333;19.98089;-6.845713e-002;3.14267
114.87800;60.78667;19.98150;-6.884506e-002;3.14267
114.88000;60.79000;19.98134;-6.897429e-002;3.14267
114.88200;60.79333;19.98150;-6.897417e-002;3.14268
114.88300;60.79667;19.98134;-6.884476e-002;3.14268
114.88400;60.80000;19.98104;-6.897406e-002;3.14268
114.88500;60.80333;19.98089;-6.858595e-002;3.14268
114.88700;60.80667;19.98104;-6.845649e-002;3.14268
114.88900;60.81000;19.98119;-6.897377e-002;3.14268
114.89000;60.81333;19.98104;-6.949111e-002;3.14268
114.89200;60.81667;19.98044;-6.949099e-002;3.14268
114.89400;60.82000;19.98044;-6.949088e-002;3.14268
114.89500;60.82333;19.98044;-6.871472e-002;3.14269
114.89700;60.82667;19.98074;-6.884396e-002;3.14269
114.89800;60.83000;19.98119;-6.884390e-002;3.14269
114.89900;60.83333;19.98119;-6.884384e-002;3.14269
114.90300;60.83667;19.98089;-6.884361e-002;3.14269
114.90300;60.84000;19.98089;-6.897295e-002;3.14269
114.90500;60.84333;19.98059;-6.897283e-002;3.14269
114.90600;60.84667;19.98059;-6.910213e-002;3.14269
114.90900;60.85000;19.98074;-6.910196e-002;3.14270
114.91000;60.85333;19.98074;-6.948995e-002;3.14270
114.91100;60.85667;19.98150;-6.923119e-002;3.14270
114.91300;60.86000;19.98150;-6.884303e-002;3.14270
114.91400;60.86333;19.98150;-6.884297e-002;3.14270
114.91700;60.86667;19.98134;-6.897215e-002;3.14270
114.91800;60.87000;19.98134;-6.819599e-002;3.14270
114.91900;60.87333;19.98150;-6.806659e-002;3.14270
114.92100;60.87667;19.98165;-6.819582e-002;3.14270
114.92300;60.88000;19.98165;-6.819570e-002;3.14271
114.92500;60.88333;19.98225;-6.832493e-002;3.14271
114.92700;60.88667;19.98271;-6.832482e-002;3.14271
114.92900;60.89000;19.98271;-6.871275e-002;3.14271
114.93200;60.89333;19.98240;-6.845389e-002;3.14271
114.93300;60.89667;19.98210;-6.819512e-002;3.14271
114.93400;60.90000;19.98210;-6.832442e-002;3.14271
114.93600;60.90333;19.98195;-6.845365e-002;3.14272
114.93600;60.90667;19.98165;-6.832430e-002;3.14272
114.93900;60.91000;19.98256;-6.819478e-002;3.14272
114.94000;60.91333;19.98286;-6.819472e-002;3.14272
114.94100;60.91667;19.98286;-6.819466e-002;3.14272
114.94300;60.92000;19.98316;-6.819455e-002;3.14272
114.94500;60.92333;19.98331;-6.871183e-002;3.14272
114.94700;60.92667;19.98347;-6.884106e-002;3.14272
114.94900;60.93000;19.98392;-6.871160e-002;3.14273
114.95100;60.93333;19.98438;-6.909952e-002;3.14273
114.95200;60.93667;19.98468;-6.935816e-002;3.14273
114.95500;60.94000;19.98498;-6.909929e-002;3.14273
114.95600;60.94333;19.98544;-6.909922e-002;3.14273
114.95700;60.94667;19.98559;-6.909917e-002;3.14273
114.95900;60.95000;19.98559;-6.909905e-002;3.14273
114.96000;60.95333;19.98544;-6.884030e-002;3.14273
114.96300;60.95667;19.98544;-6.884012e-002;3.14274
114.96400;60.96000;19.98559;-6.871072e-002;3.14274
114.96600;60.96333;19.98574;-6.883995e-002;3.14274
114.96700;60.96667;19.98619;-6.883989e-002;3.14274
114.96900;60.97000;19.98635;-6.883978e-002;3.14274
114.97100;60.97333;19.98665;-6.883967e-002;3.14274
114.97200;60.97667;19.98680;-6.883961e-002;3.14274
114.97400;60.98000;19.98635;-6.883949e-002;3.14275
114.97500;60.98333;19.98665;-6.871009e-002;3.14275
114.97700;60.98667;19.98695;-6.883932e-002;3.14275
114.98000;60.99000;19.98695;-6.896849e-002;3.14275
114.98100;60.99333;19.98619;-6.909778e-002;3.14275
114.98200;60.99667;19.98574;-6.909772e-002;3.14275
114.98300;61.00000;19.98528;-6.896832e-002;3.14275
