2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
166.2055 15945.776 0.04348 1.495e-05 190.0659 7195.082 0.08008 4.791e-05 210.9857 1109.7278 0.06263 0.0003941 220.7652  705.5690  7.224e-02  1.043e-03
167.9583 16165.255 0.0471 1.792e-05 191.8129 7300.988 0.08539 5.211e-05 213.4023 1122.762 0.06791 0.0004074 223.0796  711.5559  7.871e-02  1.098e-03
169.7471 16384.735 0.05125 1.965e-05 193.5423 7406.893 0.091 5.306e-05 215.8084 1135.7962 0.07316 0.0004002 225.3990  717.5428  8.514e-02  1.036e-03
171.515 16604.215 0.05561 1.988e-05 195.289 7512.799 0.0965 5.063e-05 218.2289 1148.8304 0.07846 0.0004184 227.7241  723.5298  9.104e-02  9.537e-04
173.2869 16823.694 0.05996 1.976e-05 197.0334 7618.704 0.1017 4.754e-05 220.6263 1161.8645 0.08413 0.0004514 230.0453  729.5167  9.689e-02  1.022e-03
175.0478 17043.174 0.06436 2.059e-05 198.779 7724.61 0.1066 4.477e-05 223.0336 1174.8987 0.08998 0.0004349 232.3812  735.5036  1.034e-01  1.138e-03
176.8185 17262.654 0.06905 2.222e-05 200.5222 7830.516 0.1112 4.389e-05 225.4229 1187.9329 0.09568 0.000455 234.7151  741.4906  1.103e-01  1.167e-03
178.5961 17482.133 0.07403 2.286e-05 202.2679 7936.421 0.116 4.765e-05 227.8421 1200.967 0.1019 0.0004999 237.0387  747.4775  1.174e-01  1.226e-03
180.3737 17701.613 0.07907 2.312e-05 204.014 8042.327 0.1214 5.439e-05 230.2502 1214.0012 0.1088 0.0005633 239.4020  753.4644  1.251e-01  1.320e-03
182.1493 17921.093 0.08418 2.344e-05 205.7314 8148.232 0.1275 6.065e-05 232.6474 1227.0354 0.1166 0.000639 241.7334  759.4514  1.331e-01  1.350e-03
183.9328 18140.572 0.08937 2.385e-05 207.4868 8254.138 0.1342 6.499e-05 235.0584 1240.0695 0.1253 0.0006757 244.0762  765.4383  1.411e-01  1.310e-03
185.72 18360.052 0.09464 2.401e-05 209.2455 8360.043 0.1412 6.63e-05 237.4556 1253.1037 0.1343 0.0007023 246.4261  771.4252  1.490e-01  1.355e-03
