2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
355.7336 39210.62 0.9318 1.767e-05 374.0589 18421.068 0.9382 2.698e-05 456.5135 2491.3499 0.9761 0.0002024 462.3275 1340.1838  9.696e-01  4.602e-04
357.5218 39430.1 0.9357 1.828e-05 375.7783 18526.974 0.9419 3.984e-05 458.7184 2504.3841 0.9791 0.0002708 464.4690 1346.1708  9.726e-01  5.400e-04
359.2936 39649.579 0.94 2.048e-05 377.5066 18632.879 0.9462 4.077e-05 460.9374 2517.4183 0.9824 0.0001988 466.6214 1352.1577  9.758e-01  4.921e-04
361.0828 39869.059 0.9446 2.098e-05 379.2341 18738.785 0.9503 3.674e-05 463.1316 2530.4525 0.9838 1.88e-05 468.7484 1358.1446  9.782e-01  3.123e-04
362.8468 40088.539 0.949 1.965e-05 380.9453 18844.69 0.954 3.271e-05 465.3423 2543.4866 0.9833 -6.886e-05 470.8980 1364.1316  9.797e-01  2.224e-04
364.5819 40308.018 0.9532 1.848e-05 382.6601 18950.596 0.9573 3.055e-05 467.56 2556.5208 0.9827 -2.765e-06 473.0316 1370.1185  9.810e-01  2.168e-04
366.436 40527.498 0.9572 1.758e-05 384.3813 19056.501 0.9605 2.957e-05 469.7676 2569.555 0.9834 0.0001049 475.1484 1376.1054  9.823e-01  1.925e-04
368.1351 40746.978 0.9609 1.71e-05 386.0983 19162.407 0.9636 2.756e-05 471.9603 2582.5891 0.9849 0.0001001 477.2870 1382.0924  9.833e-01  1.531e-04
369.9444 40966.457 0.9647 1.659e-05 387.8057 19268.312 0.9663 2.388e-05 474.1716 2595.6233 0.9858 3.532e-05 479.4136 1388.0793  9.842e-01  1.752e-04
371.7381 41185.937 0.9681 1.438e-05 389.5296 19374.218 0.9686 2.04e-05 476.3662 2608.6575 0.9862 4.353e-05 481.5311 1394.0662  9.851e-01  7.644e-05
373.4592 41405.417 0.971 1.182e-05 391.2415 19480.123 0.9708 2.133e-05 478.584 2621.6917 0.9872 0.0001045 483.6518 1400.0532  9.852e-01  2.630e-05
375.3024 41624.896 0.9734 1.052e-05 392.9609 19586.029 0.9733 2.71e-05 480.7962 2634.7258 0.9886 9.624e-05 485.7691 1406.0401  9.858e-01  1.572e-04
376.9972 41844.376 0.9756 1.016e-05 394.6706 19691.935 0.9766 3.573e-05 482.9863 2647.76 0.9895 6.15e-05 487.8803 1412.0270  9.869e-01  1.690e-04
378.8888 42063.856 0.9779 1.079e-05 396.3746 19797.84 0.9807 3.707e-05 485.1919 2660.7942 0.9905 8.751e-05 489.9903 1418.0140  9.878e-01  1.657e-04
380.605 42283.335 0.9804 1.169e-05 398.1147 19903.746 0.9837 1.85e-05 487.4226 2673.8283 0.9916 6.882e-05 492.1044 1424.0009  9.887e-01  1.085e-04
382.3542 42502.815 0.983 1.132e-05 399.8327 20009.651 0.9843 -5.288e-06 489.6299 2686.8625 0.9923 4.852e-05 494.2106 1429.9878  9.893e-01  1.446e-04
384.169 42722.295 0.9852 9.065e-06 401.5409 20115.557 0.9832 -1.193e-05 491.8376 2699.8967 0.9931 8.089e-05 496.3169 1435.9748  9.906e-01  2.545e-04
385.942 42941.774 0.987 7.412e-06 403.2492 20221.462 0.9825 1.054e-07 494.028 2712.9309 0.9941 6.022e-05 498.4278 1441.9617  9.924e-01  3.640e-04
387.695 43161.254 0.9886 7.686e-06 404.9615 20327.368 0.9834 1.38e-05 496.2533 2725.965 0.9944 -1.06e-05 500.5360 1447.9486  9.942e-01  1.387e-04
389.4165 43380.734 0.9904 8.858e-06 406.6664 20433.273 0.985 1.629e-05 498.4608 2738.9992 0.9941 -1.115e-05 502.6444 1453.9356  9.943e-01 -1.470e-05
391.3087 43600.213 0.9924 8.327e-06 408.3919 20539.179 0.9867 1.623e-05 500.6859 2752.0334 0.9946 7.17e-05 504.7556 1459.9225  9.943e-01 -1.080e-05
392.9389 43819.693 0.9938 4.319e-06 410.1046 20645.084 0.9884 1.594e-05 502.8811 2765.0675 0.9957 8.902e-05 506.8526 1465.9094  9.942e-01 -4.535e-06
394.685 44039.173 0.9945 2.177e-06 411.8223 20750.99 0.9901 1.5e-05 505.0825 2778.1017 0.9966 4.877e-05 508.9745 1471.8964  9.944e-01  6.415e-05
396.4546 44258.652 0.9949 2.348e-06 413.5409 20856.895 0.9915 1.222e-05 507.2917 2791.1359 0.997 3.625e-06 511.0798 1477.8833  9.948e-01  7.931e-05
398.2042 44478.132 0.9955 3.2e-06 415.251 20962.801 0.9927 1.077e-05 509.4956 2804.17 0.9966 -5.319e-05 513.2006 1483.8702  9.952e-01  3.158e-05
400.1088 44697.612 0.9963 4.01e-06 416.9712 21068.706 0.994 1.354e-05 511.7159 2817.2042 0.9959 -4.798e-05 515.3071 1489.8572  9.955e-01  9.117e-05
401.8227 44917.091 0.9972 4.192e-06 418.6689 21174.612 0.9959 2.486e-05 513.9361 2830.2384 0.9956 4.225e-06 517.4152 1495.8441  9.959e-01  3.660e-05
403.6217 45136.571 0.998 2.45e-06 420.3902 21280.517 0.9993 3.745e-05 516.1497 2843.2726 0.996 5.394e-05 519.5267 1501.8310  9.960e-01  1.766e-05
405.417 45356.051 0.9983 -8.034e-08 422.0906 21386.423 1.002 1.541e-05 518.3589 2856.3067 0.9968 4.451e-05 521.6285 1507.8180  9.966e-01  1.854e-04
407.2213 45575.53 0.9981 -1.388e-06 423.8257 21492.328 1.002 -2.164e-05 520.58 2869.3409 0.9971 2.549e-05 523.7618 1513.8049  9.976e-01  1.120e-04
409.0148 45795.01 0.9978 -8.779e-07 425.5537 21598.234 0.9989 -3.17e-05 522.7957 2882.3751 0.9976 4.651e-05 525.8861 1519.7918  9.979e-01 -3.241e-06
410.803 46014.49 0.9979 2.428e-06 427.2582 21704.14 0.9964 -1.426e-05 525.0195 2895.4092 0.998 4.855e-06 527.9929 1525.7788  9.978e-01 -3.269e-05
412.5804 46233.969 0.9987 3.623e-06 428.9968 21810.045 0.9958 2.586e-06 527.2417 2908.4434 0.9976 -7.204e-05 530.1198 1531.7657  9.978e-01  7.238e-05
414.3535 46453.449 0.9992 1.39e-06 430.7107 21915.951 0.9965 7.005e-06 529.4517 2921.4776 0.9967 -4.191e-05 532.2396 1537.7526  9.988e-01  2.203e-04
416.1364 46672.929 0.9993 -6.913e-07 432.4282 22021.856 0.997 2.351e-06 531.6732 2934.5118 0.9969 7.933e-05 534.3572 1543.7396  9.998e-01  8.850e-05
417.9356 46892.408 0.9991 -1.173e-06 434.1506 22127.762 0.9969 -2.722e-06 533.9022 2947.5459 0.9981 8.586e-05 536.4672 1549.7265  1.000e+00  2.573e-06
419.7045 47111.888 0.9989 -6.381e-07 435.8668 22233.667 0.9967 1.058e-06 536.1277 2960.5801 0.9991 6.956e-05 538.5970 1555.7134  9.999e-01 -3.268e-05
421.475 47331.368 0.9988 -1.27e-07 437.6055 22339.573 0.9973 9.074e-06 538.3519 2973.6143 1 5.883e-05 540.6962 1561.7003  9.998e-01  4.539e-06
423.248 47550.847 0.9989 9.345e-07 439.3229 22445.478 0.9985 1.183e-05 540.563 2986.6484 1 -4.504e-06 542.8222 1567.6873  9.997e-01 -2.137e-05
425.008 47770.327 0.9992 2.504e-06 441.0519 22551.384 0.9996 8.727e-06 542.7898 2999.6826 1 -2.137e-05 544.9422 1573.6742  9.999e-01  8.793e-05
426.7787 47989.807 0.9999 3.582e-06 442.7704 22657.289 1 -2.874e-06 544.9943 3012.7168 0.9999 1.243e-06 547.0537 1579.6611  1.001e+00  8.763e-05
428.5364 48209.286 1.001 2.329e-06 444.4848 22763.195 0.9991 -1.286e-05 547.2102 3025.751 1 3.362e-05 549.1720 1585.6481  1.001e+00 -7.708e-06
430.3464 48428.766 1.001 5.191e-09 446.2201 22869.1 0.9977 -1.154e-05 549.4387 3038.7851 1.001 2.752e-05 551.2846 1591.6350  1.001e+00 -2.643e-05
432.1111 48648.246 1.001 -1.641e-06 447.9392 22975.006 0.997 -4.097e-07 551.6477 3051.8193 1.001 -3.082e-06 553.4037 1597.6219  1.001e+00  2.199e-05
433.8731 48867.725 1 -1.847e-06 449.6494 23080.911 0.9977 1.364e-05 553.8658 3064.8535 1 -4.261e-05 555.5232 1603.6089  1.001e+00  7.114e-05
435.636 49087.205 0.9999 -9.237e-07 451.3787 23186.817 0.9995 1.798e-05 556.0787 3077.8876 1 -2.301e-05 557.6282 1609.5958  1.001e+00 -3.705e-05
437.4166 49306.685 0.9999 6.656e-07 453.1213 23292.722 1.001 1.254e-05 558.2971 3090.9218 1 5.79e-05 559.7467 1615.5827  1.001e+00 -5.154e-05
439.2107 49526.164 1 2.211e-06 454.8279 23398.628 1.002 1.903e-06 560.5057 3103.956 1.001 8.672e-05 561.8698 1621.5697  1.001e+00  5.595e-05
440.987 49745.644 1.001 1.795e-06 456.5633 23504.533 1.002 -6.062e-06 562.7232 3116.9901 1.002 7.229e-05 563.9857 1627.5566  1.001e+00  8.653e-05
442.7475 49965.124 1.001 -2.067e-07 458.2879 23610.439 1.001 -3.956e-06 564.9481 3130.0243 1.003 -1.75e-05 566.0922 1633.5435  1.001e+00 -2.362e-05
444.5363 50184.603 1.001 -7.986e-07 460.0211 23716.345 1.001 5.199e-06 567.171 3143.0585 1.002 -9.316e-05 568.2140 1639.5305  1.001e+00 -8.127e-05
446.3213 50404.083 1.001 -4.414e-08 461.7534 23822.25 1.002 1.317e-05 569.3766 3156.0927 1.001 -8.555e-05 570.3304 1645.5174  1.001e+00  5.773e-05
448.0763 50623.563 1.001 6.042e-08 463.4541 23928.156 1.003 6.843e-06 571.6098 3169.1268 1 -8.262e-06 572.4470 1651.5043  1.001e+00 -3.525e-06
449.8954 50843.042 1.001 1.255e-07 465.1996 24034.061 1.003 -1.265e-05 573.8123 3182.161 1.001 8.576e-05 574.5679 1657.4913  1.001e+00 -9.727e-05
451.6461 51062.522 1.001 1.113e-06 466.9358 24139.967 1.001 -1.891e-05 576.0261 3195.1952 1.002 6.762e-05 576.6769 1663.4782  1.001e+00  5.010e-06
453.4208 51282.002 1.001 2.641e-06 468.6465 24245.872 0.9996 -8.757e-06 578.262 3208.2293 1.002 -3.772e-05 578.7886 1669.4651  1.001e+00  1.030e-05
455.2084 51501.481 1.002 2.764e-06 470.3585 24351.778 0.9995 3.847e-06 580.4867 3221.2635 1.001 -8.401e-05 580.9033 1675.4521  1.001e+00 -4.663e-05
456.9796 51720.961 1.002 1.211e-06 472.104 24457.683 0.9999 3.497e-06 582.6951 3234.2977 1 -2.597e-05 583.0151 1681.4390  1.000e+00 -8.954e-05
458.7905 51940.441 1.002 -1.651e-06 473.833 24563.589 1 -8.184e-07 584.9094 3247.3319 1 4.709e-05 585.1320 1687.4259  9.999e-01  5.618e-05
460.5544 52159.92 1.002 -4.122e-06 475.5641 24669.494 0.9998 -4.436e-06 587.1267 3260.366 1.001 2.962e-05 587.2417 1693.4129  1.000e+00  8.241e-05
462.342 52379.4 1.001 -4.37e-06 477.291 24775.4 0.9992 -5.342e-06 589.334 3273.4002 1.001 1.141e-05 589.3540 1699.3998  1.001e+00  2.402e-05
