1.Temperature[°C] 1.Time[s] 1.Conversion[-] 1.Conversion_rate[1/s] 2.Temperature[°C] 2.Time[s] 2.Conversion[-] 2.Conversion_rate[1/s] 3.Temperature[°C] 3.Time[s] 3.Conversion[-] 3.Conversion_rate[1/s] 4.Temperature[°C] 4.Time[s] 4.Conversion[-] 4.Conversion_rate[1/s]
88.58842 1636.878 0.002686 3.8e-07 92.85844 762.0994 0.0005087 7.744e-05 93.2725 488.5477 0.001342 2.718e-05 88.69062 311.6575 0.0004785 -0.0004692
88.90844 1646.668 0.002678 -9.999e-08 93.28549 766.0712 0.0005998 -1.626e-05 93.66611 490.2211 0.00148 0.0001905 89.09993 312.6655 0.0003955 0.0003291
89.228 1656.458 0.002516 -4.084e-05 93.7043 770.0431 0.0005781 -6.124e-06 94.05005 491.8945 0.001722 -5.066e-05 89.4874 313.6735 0.001085 0.0002507
89.53525 1666.248 0.002522 2.029e-05 94.13424 774.0149 0.00083 8.712e-05 94.41624 493.5678 0.001937 0.0001992 89.87423 314.6816 0.001062 0.0001253
89.86138 1676.038 0.002767 2.818e-05 94.55329 777.9868 0.001044 4.61e-05 94.80167 495.2412 0.002007 -0.0001639 90.2846 315.6896 0.0006905 -0.0009535
90.17665 1685.828 0.003078 7.83e-06 95.00473 781.9587 0.001355 4.636e-05 95.20057 496.9146 0.002046 8.803e-05 90.67701 316.6977 0.001045 0.001861
90.50111 1695.618 0.003065 -1.775e-07 95.43134 785.9305 0.001577 0.0001011 95.57388 498.5879 0.002143 0.0001453 91.09219 317.7057 0.0007391 -0.00167
90.82575 1705.408 0.003048 3.069e-06 95.86608 789.9024 0.001808 -2.167e-05 95.97675 500.2613 0.00245 4.139e-05 91.49714 318.7137 0.0008485 0.0006335
91.12785 1715.198 0.003327 3.48e-05 96.28656 793.8743 0.001824 5.743e-05 96.36278 501.9347 0.002579 0.0001751 91.8846 319.7218 0.001036 8.035e-05
91.45111 1724.988 0.003542 2.67e-05 96.71438 797.8461 0.002163 5.281e-05 96.7362 503.608 0.00285 -8.473e-05 92.28356 320.7298 0.001604 0.0002626
91.75651 1734.778 0.003845 2.205e-05 97.14934 801.818 0.002183 -6.634e-07 97.13031 505.2814 0.003029 0.0003675 92.69297 321.7378 0.002117 0.0006154
92.05363 1744.568 0.00403 3.095e-05 97.58052 805.7898 0.002138 -3.879e-05 97.50711 506.9548 0.003619 8.555e-05 93.10237 322.7459 0.001418 -0.0006242
92.38635 1754.358 0.004982 0.0001416 98.01912 809.7617 0.002677 0.0002374 97.90924 508.6281 0.003594 -1.41e-06 93.50453 323.7539 0.001615 0.0003356
92.70869 1764.148 0.005982 4.219e-05 98.42825 813.7336 0.003398 6.636e-06 98.30516 510.3015 0.003548 2.974e-05 93.92236 324.762 0.001869 0.0009504
93.02745 1773.938 0.006268 2.589e-05 98.85447 817.7054 0.003385 6.08e-05 98.67885 511.9749 0.004084 0.0004302 94.32753 325.77 0.003008 0.0001709
93.35478 1783.728 0.006733 6.785e-05 99.28673 821.6773 0.003691 0.0001063 99.05946 513.6482 0.004357 -5.944e-05 94.74516 326.778 0.002966 5.856e-05
93.68552 1793.518 0.007405 4.735e-05 99.71295 825.6491 0.004511 0.0002808 99.47011 515.3216 0.004343 6.747e-09 95.11951 327.7861 0.002679 -0.001504
94.03341 1803.308 0.008273 0.0001317 100.13653 829.621 0.005019 7.48e-05 99.8549 516.995 0.004343 -1.091e-05 95.53923 328.7941 0.002395 0.000852
